rank,symbol,company_name,market_cap,stock_price_cad,percent_change,revenue,exchange,source_url,yahoo_symbol,sector,industry,long_name,quote_type,lookup_status
598,MPC,Madison Pacific Properties Inc.,281.28M,5.3,-,43.36M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,MPC.TO,Real Estate,Real Estate Services,Madison Pacific Properties Inc.,EQUITY,success
599,MPC.C,Madison Pacific Properties Inc.,281.28M,4.55,-2.15%,43.36M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,MPC-C.TO,Real Estate,Real Estate Services,Madison Pacific Properties Inc.,EQUITY,success
600,MXG,Maxim Power Corp.,279.70M,4.4,-1.57%,86.87M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,MXG.TO,Utilities,Utilities - Independent Power Producers,Maxim Power Corp.,EQUITY,success
601,GH,Gamehost Inc.,277.32M,13.4,-0.07%,84.26M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,GH.TO,Consumer Cyclical,Resorts & Casinos,Gamehost Inc.,EQUITY,success
602,TSK,Talisker Resources Ltd.,276.57M,1.33,-,5.45M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,TSK.TO,Basic Materials,Gold,Talisker Resources Ltd.,EQUITY,success
603,MGA,Mega Uranium Ltd.,276.41M,0.71,-1.39%,-,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,MGA.TO,Energy,Uranium,Mega Uranium Ltd.,EQUITY,success
604,KEI,Kolibri Global Energy Inc.,276.34M,7.74,-0.64%,78.73M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,KEI.TO,Energy,Oil & Gas E&P,Kolibri Global Energy Inc.,EQUITY,success
605,D.UN,Dream Office Real Estate Investment Trust,276.09M,16.98,0.83%,154.41M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,D-UN.TO,Real Estate,REIT - Office,Dream Office Real Estate Investment Trust,EQUITY,success
606,ACB,Aurora Cannabis Inc.,274.94M,4.7,1.08%,373.12M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,ACB.TO,Healthcare,Drug Manufacturers - Specialty & Generic,Aurora Cannabis Inc.,EQUITY,success
607,BNKR,Bunker Hill Mining Corp.,268.44M,5.75,-3.36%,-,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,BNKR.TO,Basic Materials,Silver,Bunker Hill Mining Corp.,EQUITY,success
608,OGI,Organigram Global Inc.,265.80M,1.92,1.59%,279.99M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,OGI.TO,Healthcare,Drug Manufacturers - Specialty & Generic,Organigram Global Inc.,EQUITY,success
609,PIF,Polaris Renewable Energy Inc.,265.71M,12.79,0.63%,110.35M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,PIF.TO,Utilities,Utilities - Renewable,Polaris Renewable Energy Inc.,EQUITY,success
610,BNE,Bonterra Energy Corp.,264.44M,7.19,-0.55%,216.61M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,BNE.TO,Energy,Oil & Gas E&P,Bonterra Energy Corp.,EQUITY,success
611,ADW.A,Andrew Peller Limited,258.45M,5.69,1.43%,389.04M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,ADW-A.TO,Consumer Defensive,Beverages - Wineries & Distilleries,Andrew Peller Limited,EQUITY,success
612,ADW.B,Andrew Peller Limited,258.45M,7.18,6.21%,389.04M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,ADW-B.TO,Consumer Defensive,Beverages - Wineries & Distilleries,Andrew Peller Limited,EQUITY,success
613,BGAU,Blossom Gold Inc.,256.66M,1.95,1.56%,-,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,BGAU.TO,Basic Materials,Other Precious Metals & Mining,Blossom Gold Inc.,EQUITY,success
